Punto,Lat,Lon,,
A DIOS LE PIDO  RESTAURANTE BAR,19.42720253,-99.1645885,19.4272-99.1645,1
ACADEMIA MEXICANA DE SOMMELIERS,19.41294789,-99.16564421,19.4129-99.1656,1
ADRENALINE WINGS,19.3481418,-99.01884601,19.3481-99.0188,1
AGUA BENDITA,19.36746988,-99.16213064,19.3674-99.1621,1
AGUAMIEL Y PULQUES,19.20336237,-99.13862258,19.2033-99.1386,1
AJA TORO,19.32452199,-99.26846062,19.3245-99.2684,1
ALAS MICHES,19.31656593,-99.25620916,19.3165-99.2562,1
ALBOA ENTERTEINMENT HALL,19.39657944,-99.1808907,19.3965-99.1808,1
ALIMENTOS Y BEBIDAS EL FRAILE,19.32823818,-99.28030723,19.3282-99.2803,1
ALITAS,19.44700143,-99.12924783,19.4470-99.1292,1
ALITAS ARANZA,19.33614165,-99.03356179,19.3361-99.0335,1
ALITAS SIN NOMBRE,19.42800364,-99.12334063,19.4280-99.1233,1
ALITAS TANOS,19.26964919,-99.15789772,19.2696-99.1578,1
ALITAS Y SNAKS LA ENVIDIOSA,19.29041419,-99.00291902,19.2904-99.0029,1
ALITASY COSTILLAS SIN NOMBRE,19.46978612,-99.11132903,19.4697-99.1113,1
ALZONA 19 PULQUES,19.35919441,-99.01807214,19.3591-99.0180,1
ANTOJERIA MI GALLO,19.42494247,-99.15506813,19.4249-99.1550,1
ANTOJITOS,19.33657667,-99.01023814,19.3365-99.0102,1
ANTOJITOS MEXICANOS,19.32574896,-99.17333863,19.3257-99.1733,1
ANTOJITOS Y COKTELERIA,19.34499477,-99.00982658,19.3449-99.0098,1
ANTRO- BAR  LA J,19.43707112,-99.1377635,19.4370-99.1377,1
ANTULL,19.40882908,-99.17659359,19.4088-99.1765,1
APOYO ECONOMICO FAMILIAR S.A. DE C.V.,19.31614404,-99.07266363,19.3161-99.0726,1
ARTEMISA,19.42071303,-99.16336235,19.4207-99.1633,1
ARTESANAL MEXICANO LA FUNDIDORA,19.40513273,-99.1302458,19.4051-99.1302,1
ARTIC BAR,19.41282707,-99.17190686,19.4128-99.1719,1
ASADO BRAZIL,19.4353423,-99.17051631,19.4353-99.1705,1
ATARDECER RANCHERO,19.40239454,-99.14553657,19.4023-99.1455,1
AZ DE OROS,19.44093139,-99.15065601,19.4409-99.1506,1
B.WING,19.36814663,-99.14160141,19.3681-99.1416,1
BALAGAN,19.42701254,-99.13628914,19.4270-99.1362,1
BALTRA BAR,19.40950232,-99.16884421,19.4095-99.1688,1
BAR,19.39338604,-99.07366923,19.3933-99.0736,1
BAR 3ER MILENIO VIP,19.29602202,-99.13314667,19.2960-99.1331,1
BAR ACAPULCO,19.42791389,-99.10795645,19.4279-99.1079,1
BAR ANGEL DE LA NOCHE,19.35180097,-99.02436174,19.3518-99.0243,1
BAR ANTONIO,19.39585441,-99.16687898,19.3958-99.1668,1
BAR ASHA,19.33877905,-99.1895547,19.3387-99.1895,1
BAR BARRA INDEPENDENCIA,19.43323543,-99.14438691,19.4332-99.1443,1
BAR BERLIN,19.37528602,-99.17922927,19.3752-99.1792,1
BAR BLACK PEARL,19.36625605,-99.18123162,19.3662-99.1812,1
BAR BORA BORA BISTRO,19.46153798,-99.12829663,19.4615-99.1282,1
BAR CAN CAN,19.42014019,-99.16493185,19.4201-99.1649,1
BAR CARAPOS,19.44088021,-99.13803721,19.4408-99.1380,1
BAR CENIT,19.4373732,-99.13805804,19.4373-99.1380,1
BAR CHAPULTEPEC,19.43749486,-99.14794537,19.4374-99.1479,1
BAR CHUPACHELAS,19.43495469,-99.15760736,19.4349-99.1576,1
BAR CLUB,19.46701223,-99.12436274,19.4670-99.1243,1
BAR COCTEL BAR AND GRILL,19.42675469,-99.16639201,19.4267-99.1663,1
BAR DE MICHELADAS EL RETEN,19.22894114,-99.11645651,19.2289-99.1164,1
BAR DUSK,19.39069927,-99.17858589,19.3906-99.1785,1
BAR ECLCETIC,19.38935688,-99.08398051,19.3893-99.0839,1
BAR EL ALMACEN,19.42469432,-99.16655435,19.4246-99.1665,1
BAR EL ATORON,19.41495334,-99.07499728,19.4149-99.0749,1
BAR EL CALAVERA,19.36014653,-99.07038815,19.3601-99.0703,1
BAR EL CAPRICHO,19.4255079,-99.12808622,19.4255-99.1280,1
BAR EL CHANGAROCK,19.29554651,-99.07002718,19.2955-99.0700,1
BAR EL DEPOSITO,19.38733426,-99.15397259,19.3873-99.1539,1
BAR EL DESVAN,19.24398032,-99.11208553,19.2439-99.1120,1
BAR EL DIAMANTE,19.42380651,-99.13207983,19.4238-99.1320,1
BAR EL DORADO,19.44182787,-99.13988656,19.4418-99.1398,1
BAR EL GARROBO,19.29010734,-99.22920571,19.2901-99.2292,1
BAR EL GRAN MARQUES,19.44152812,-99.14806396,19.4415-99.1480,1
BAR EL IMPERIAL,19.41666134,-99.16852453,19.4166-99.1685,1
BAR EL JAIBOL,19.29543532,-99.13333259,19.2954-99.1333,1
BAR EL KILOMETRO,19.29192049,-99.04117108,19.2919-99.0411,1
BAR EL LEON LAS PELIGROSAS DEL JEDAY,19.44985565,-99.09929669,19.4498-99.0992,1
BAR EL MARRAQUECH,19.43759337,-99.13888425,19.4375-99.1388,1
BAR EL OR¡CULO,19.28746644,-99.21844466,19.2874-99.2184,1
BAR EL PATIO,19.45806643,-99.16246301,19.4580-99.1624,1
BAR EL REFUGIO,19.35690377,-99.25859713,19.3569-99.2585,1
BAR EL SUAVECITO 1ER PISO,19.36699419,-99.09794238,19.3669-99.0979,1
BAR EL TALLER,19.42470127,-99.16655794,19.4247-99.1665,1
BAR EL TRAPIZ,19.41619333,-99.16918037,19.4161-99.1691,1
BAR FAMILIAR LA PERLA,19.3939667,-99.07606847,19.3939-99.0760,1
BAR FELINA,19.40537828,-99.17413605,19.4053-99.1741,1
BAR FLORIDA DEL CENTRO,19.4329086,-99.14224841,19.4329-99.1422,1
BAR FLY,19.42873715,-99.13768026,19.4287-99.1376,1
BAR GIOCONDA,19.43418427,-99.13929818,19.4341-99.1392,1
BAR GOMICHELAS,19.43371902,-99.15849107,19.4337-99.1584,1
BAR GRAN PIANO LOUNG,19.38689002,-99.25287615,19.3868-99.2528,1
BAR HIBRIDO,19.4240859,-99.16605199,19.4240-99.1660,1
BAR ICE CLUB,19.29605115,-99.13322068,19.2960-99.1332,1
BAR KARAOKE EL PALOMAZO,19.38716463,-99.15407512,19.3871-99.1540,1
BAR LA 5TA DE MADERO,19.43389743,-99.13911935,19.4338-99.1391,1
BAR LA BARTOLA,19.29177035,-99.21700083,19.2917-99.2170,1
BAR LA CERDA DEL PUEBLO,19.24797029,-99.11809911,19.2479-99.1180,1
BAR LA CUEVA,19.32345094,-99.17284374,19.3234-99.1728,1
BAR LA DEL ESTRIBO,19.29542049,-99.13340234,19.2954-99.1334,1
BAR LA ENVIDIA,19.2175667,-99.10121568,19.2175-99.1012,1
BAR LA …POCA,19.42801111,-99.13815977,19.4280-99.1381,1
BAR LA ESCENA,19.43273882,-99.15072427,19.4327-99.1507,1
BAR LA ESTRELLA,19.42216679,-99.12140676,19.4221-99.1214,1
BAR LA FACULTAD,19.41692945,-99.16544908,19.4169-99.1654,1
BAR LA GUARDERIA,19.4287544,-99.12301713,19.4287-99.1230,1
BAR LA INDIA,19.42997067,-99.13875485,19.4299-99.1387,1
BAR LA MASCOTA,19.43297105,-99.1429311,19.4329-99.1429,1
BAR LA PROMESA,19.29539092,-99.06909352,19.2953-99.0690,1
BAR LA QUEBRADA,19.41758057,-99.14119356,19.4175-99.1411,1
BAR LA REFORMA DE BUCARELI,19.43317791,-99.1494239,19.4331-99.1494,1
BAR LA TABERNA,19.31609867,-99.07243699,19.3160-99.0724,1
BAR LA VAQUITA,19.42865491,-99.13687755,19.4286-99.1368,1
BAR LAS FRIAS,19.39261269,-99.07757704,19.3926-99.0775,1
BAR LAS HIJAS DE QUETZALCOATL,19.49517068,-99.11873709,19.4951-99.1187,1
BAR LAS JACARANDAS,19.42812124,-99.14281613,19.4281-99.1428,1
BAR LAS MACETAS,19.44185405,-99.11608794,19.4418-99.1160,1
BAR LE TOUCH,19.42681796,-99.1660104,19.4268-99.1660,1
BAR LILI,19.41107703,-99.08357564,19.4110-99.0835,1
BAR LOS BRODERS,19.30479799,-99.0865362,19.3047-99.0865,1
BAR LOS CALDOS,19.42379309,-99.13198342,19.4237-99.1319,1
BAR LOS ESPEJOS,19.44234232,-99.09139634,19.4423-99.0913,1
BAR LOS HIJOS DE LA CEBADA,19.49396045,-99.12176359,19.4939-99.1217,1
BAR LOS LEONES GRILL,19.39945217,-99.1508975,19.3994-99.1508,1
BAR MALA COPA,19.39053626,-99.15634188,19.3905-99.1563,1
BAR MANCERA,19.43145,-99.13786,19.4314-99.1378,1
BAR MI GUSTO ES,19.24531972,-99.24226861,19.2453-99.2422,1
BAR MI RANCHITO,19.41486992,-99.07500583,19.4148-99.0750,1
BAR MIRAMAR,19.43374125,-99.14684698,19.4337-99.1468,1
BAR MKD,19.42248146,-99.17267431,19.4224-99.1726,1
BAR MOYS,19.43464787,-99.15952399,19.4346-99.1595,1
BAR NICE NICE,19.41597334,-99.09581616,19.4159-99.0958,1
BAR NISOTO,19.42671635,-99.1393315,19.4267-99.1393,1
BAR NOCTURNO GATO CALAVERA,19.42184545,-99.16359776,19.4218-99.1635,1
BAR ORIENTE 181,19.42005695,-99.16529426,19.4200-99.1652,1
BAR OXFORD,19.43745717,-99.152097,19.4374-99.1520,1
BAR POLO,19.44124297,-99.13961431,19.4412-99.1396,1
BAR PONG BAR,19.42073913,-99.16990172,19.4207-99.1699,1
BAR PULMEZ,19.4371961,-99.14978932,19.4371-99.1497,1
BAR PUNTO SUR,19.41612304,-99.16559563,19.4161-99.1655,1
BAR Q-BETA,19.29602036,-99.13314245,19.2960-99.1331,2
BAR RED CITY,19.42721509,-99.16036604,19.4272-99.1603,1
BAR RESTAURANT LAS PECOSAS,19.4374478,-99.13857667,19.4374-99.1385,1
BAR RESTAURANTE ELDEPOSITO,19.40579138,-99.17632792,19.4057-99.1763,1
BAR RESTAURANTE TABOO,19.4240276,-99.1531895,19.4240-99.1531,1
BAR RICO CLUB,19.42662763,-99.16263626,19.4266-99.1626,1
BAR RINCON CERVECERO,19.40433752,-99.16055676,19.4043-99.1605,1
BAR SEGUNDO PISO,19.48054255,-99.18655102,19.4805-99.1865,1
BAR SHAWARAMA,19.47757837,-99.19113167,19.4775-99.1911,1
BAR TANOS,19.26816094,-99.15846208,19.2681-99.1584,1
BAR THE BABILON CLUB,19.42690485,-99.16542862,19.4269-99.1654,1
BAR THE SIXTIES,19.41289099,-99.16671261,19.4128-99.1667,1
BAR TINTOS BY OPEN HOUSE,19.43323543,-99.14438691,19.4332-99.1443,2
BAR TLACHIQUERO,19.42199294,-99.15550505,19.4219-99.1555,1
BAR UTA,19.43623165,-99.1353871,19.4362-99.1353,1
BAR VILLA HERMOSA,19.4145542,-99.13640138,19.4145-99.1364,1
"BAR, CANTINA O SIMILAR SIN NOMBRE",19.47347499,-99.15743568,19.4734-99.1574,1
"BAR, CANTINA O SIMILAR SIN NOMBRE",19.4808731,-99.20488681,19.4808-99.2048,1
BARBAS BAS,19.38893804,-99.1857931,19.3889-99.1857,1
"BARES, CANTINAS Y SIMILARES",19.43537225,-99.13544055,19.4353-99.1354,1
BAREZZITO,19.38719436,-99.25244827,19.3871-99.2524,1
BARRA DEVINOS,19.44184743,-99.18314572,19.4418-99.1831,1
BARRA URBANA,19.42824324,-99.13860397,19.4282-99.1386,1
BARRITA REGINA,19.42826277,-99.13871202,19.4282-99.1387,1
BBQ,19.44092139,-99.18172013,19.4409-99.1817,1
BEBIDAS FREXONAS,19.29666922,-99.05629277,19.2966-99.0562,1
BEBIDAS MEXICANAS PREISPANICAS,19.27490983,-98.99877415,19.2749-98.9987,1
BEBIDAS PREPARADAS Y PELICULAS,19.37320446,-99.03776638,19.3732-99.0377,1
BEER BANK,19.40659811,-99.17300236,19.4065-99.1730,1
BEER COMPANY,19.33852685,-99.11310234,19.3385-99.1131,1
BEER PLAY,19.36625605,-99.18123162,19.3662-99.1812,2
BEER STOP ALITAS BURGE & GRILL,19.4353423,-99.17051631,19.4353-99.1705,2
BEER STOP INSURGENTES,19.39727625,-99.17115367,19.3972-99.1711,1
BEER WINGS,19.27850075,-99.22406354,19.2785-99.2240,1
BERRA GAVIA,19.40700967,-99.17826888,19.4070-99.1782,1
BETOS BAR,19.40761285,-99.12145061,19.4076-99.1214,1
BIG YELLOW BAR,19.36717072,-99.26393654,19.3671-99.2639,1
BLACK & BEAR,19.41215665,-99.17922616,19.4121-99.1792,1
BLACK DOOK,19.416691,-99.07678557,19.4166-99.0767,1
BLACK MAMA,19.29092015,-99.13082798,19.2909-99.1308,1
BLUE MAGIC,19.35094337,-99.01219641,19.3509-99.0121,1
BLUE WINGS,19.42180617,-99.13685497,19.4218-99.1368,1
BOCCA PIANO CANTABAR,19.42693464,-99.19671188,19.4269-99.1967,1
BODEGA,19.44698715,-99.15797525,19.4469-99.1579,1
BODEGA DE BAR,19.43018999,-99.12342948,19.4301-99.1234,1
BODEGA DE BAR TORITO,19.29955831,-99.10612598,19.2995-99.1061,1
BODEGA DE BEBIDAS LIQUIDAS SIN NOMBRE,19.39171257,-99.16203964,19.3917-99.1620,1
BOM BEER,19.41368491,-99.15602237,19.4136-99.1560,1
BONITOS Y GORDITOS,19.35380896,-99.30853346,19.3538-99.3085,1
BONUS ROOM,19.4353423,-99.17051631,19.4353-99.1705,3
BOOMERS GRILL BAR,19.42683245,-99.16439762,19.4268-99.1643,1
BOSFORO,19.43316615,-99.1451174,19.4331-99.1451,1
BOTANITAS IVON,19.4452264,-99.08722572,19.4452-99.0872,1
BOTELLON EL TIPICO  DEL CALLEJON,19.43213893,-99.19757793,19.4321-99.1975,1
BOY BAR,19.42704419,-99.16599906,19.4270-99.1659,1
BRUS TAP ROOM,19.41674565,-99.16360697,19.4167-99.1636,1
BUCARDON,19.43336486,-99.15068647,19.4333-99.1506,1
BULLDOG,19.33154635,-99.24689661,19.3315-99.2468,1
BURBUFIESTAS MOCTEZUMA,19.27263407,-99.23992598,19.2726-99.2399,1
BURROS COFFE CLUB,19.45718366,-99.16368781,19.4571-99.1636,1
BURROS LOUNGE,19.45712116,-99.16380914,19.4571-99.1638,1
CABA—A LAS SEGURAS,19.28168333,-99.273725,19.2816-99.2737,1
CAFE,19.35881265,-99.00092594,19.3588-99.0009,1
CAF… ¡NGELES Y DEMONIOS,19.42854241,-99.10473025,19.4285-99.1047,1
CAFE BAR SAN FRANCISCO,19.34444019,-99.16740646,19.3444-99.1674,1
CAFE CARAOKE,19.26557726,-99.11368573,19.2655-99.1136,1
CAFE DEL JARDIN,19.43465207,-99.13558767,19.4346-99.1355,1
CAFE KARAOKE ZAVE,19.38142298,-99.06707188,19.3814-99.0670,1
CAF… NUEVA YORK 16,19.39679447,-99.17920963,19.3967-99.1792,1
CAFETERIA MIJIU,19.3722266,-99.28518796,19.3722-99.2851,1
CALAVERAS Y DIALITOS,19.54582733,-99.1345945,19.5458-99.1345,1
CALDOS DE GALLINA EL AGASAJO,19.50959942,-99.19124447,19.5095-99.1912,1
CANTA BAR ESCAPARATE,19.42505046,-99.17763155,19.4250-99.1776,1
CANTA BAR MEXICO,19.38388627,-99.18035687,19.3838-99.1803,1
CANTINA  LA CASTELLANA,19.43432071,-99.15823294,19.4343-99.1582,1
CANTINA & GRILL,19.43100229,-99.1564794,19.4310-99.1564,1
CANTINA BAR DON RAMON,19.43924138,-99.14924976,19.4392-99.1492,1
CANTINA BAR EL FARO DE CADIZ,19.43936684,-99.17368341,19.4393-99.1736,1
CANTINA BAR EL LAURO,19.4258672,-99.14450409,19.4258-99.1445,1
CANTINA BAR EL SELLA,19.41491737,-99.15384422,19.4149-99.1538,1
CANTINA BAR LA NUMANCIA,19.39853896,-99.12422364,19.3985-99.1242,1
CANTINA BAR LA POMPA,19.40824238,-99.14440956,19.4082-99.1444,1
CANTINA BAR LA REFORMA PUGIBET,19.43059919,-99.14318968,19.4305-99.1431,1
CANTINA BAR PORTALES DE TLAQUEPAQUE,19.4305587,-99.13874405,19.4305-99.1387,1
CANTINA CASA ABUNDIO,19.44473028,-99.14961219,19.4447-99.1496,1
CANTINA CHIN CHUN CHAN,19.45600852,-99.18927126,19.4560-99.1892,1
CANTINA COSMOPOLITAN,19.42675326,-99.13464634,19.4267-99.1346,1
CANTINA CUCHILLEROS CANTINA,19.43335415,-99.1569141,19.4333-99.1569,1
CANTINA EL 33,19.43977745,-99.13984407,19.4397-99.1398,1
CANTINA EL BUEN TONO,19.46107411,-99.14007863,19.4610-99.1400,1
CANTINA EL CAUDIILO,19.37144871,-99.18693626,19.3714-99.1869,1
CANTINA EL CENTENARIO,19.41126327,-99.17510939,19.4112-99.1751,1
CANTINA EL CORREO DE ULTRAMAR,19.46301405,-99.11240675,19.4630-99.1124,1
CANTINA EL DIAMANTE,19.42949556,-99.12478486,19.4294-99.1247,1
CANTINA EL EMPORIO,19.37288668,-99.14138011,19.3728-99.1413,1
CANTINA EL FENIX,19.41997618,-99.13374806,19.4199-99.1337,1
CANTINA EL GALLO DE ORO,19.43153671,-99.1385493,19.4315-99.1385,1
CANTINA EL GOLFO DE LE”N,19.43818257,-99.16622196,19.4381-99.1662,1
CANTINA EL IMPERIO,19.34393182,-99.19126913,19.3439-99.1912,1
CANTINA EL LEON DE ORO,19.40335356,-99.1814912,19.4033-99.1814,1
CANTINA EL RECREO,19.40811614,-99.1393943,19.4081-99.1393,1
CANTINA EL SUBMARINO,19.44079223,-99.17080467,19.4407-99.1708,1
CANTINA EL TIO PEPE S DE RL,19.43300541,-99.14291734,19.4330-99.1429,1
CANTINA EL TRESE—O,19.44308246,-99.14629739,19.4430-99.1462,1
CANTINA ESPUELA,19.42871676,-99.12478423,19.4287-99.1247,1
CANTINA FLORIDA,19.33602059,-99.10910154,19.3360-99.1091,1
CANTINA GUADIANA,19.43078546,-99.16280371,19.4307-99.1628,1
CANTINA HIJA DE LA PIRATA,19.41609345,-99.13494447,19.4160-99.1349,1
CANTINA LA BOHEMIA,19.42472957,-99.16529728,19.4247-99.1652,1
CANTINA LA CAMELIA,19.34513504,-99.19101128,19.3451-99.1910,1
CANTINA LA CAMINERA,19.4343063,-99.1820926,19.4343-99.1820,1
CANTINA LA CAMPANA,19.42583526,-99.15286339,19.4258-99.1528,1
CANTINA LA CASTELLANA,19.43065476,-99.14458836,19.4306-99.1445,1
CANTINA LA COLONIAL,19.40065471,-99.18476361,19.4006-99.1847,1
CANTINA LA COLORADA,19.45877215,-99.18389831,19.4587-99.1838,1
CANTINA LA DOMINICA,19.43787901,-99.13550076,19.4378-99.1355,1
CANTINA LA FLOR ASTURIANA,19.43862155,-99.15322351,19.4386-99.1532,1
CANTINA LA FLOR DE VALENCIA SA,19.36997095,-99.18851723,19.3699-99.1885,1
CANTINA LA GLORIA,19.47892151,-99.11931798,19.4789-99.1193,1
CANTINA LA GONDOLA,19.45759919,-99.1258216,19.4575-99.1258,1
CANTINA LA IMPERIAL,19.45955354,-99.19052005,19.4595-99.1905,1
CANTINA LA IMPERIAL,19.36809741,-99.25992676,19.3680-99.2599,1
CANTINA LA INVENCIBLE,19.34393277,-99.19127245,19.3439-99.1912,2
CANTINA LA JALICIENSE,19.28864391,-99.16567727,19.2886-99.1656,1
CANTINA LA LLORONA,19.41617667,-99.16927461,19.4161-99.1692,1
CANTINA LA LUNA,19.48170371,-99.18638135,19.4817-99.1863,1
CANTINA LA MASCOTA,19.42884566,-99.1389624,19.4288-99.1389,1
CANTINA LA MUNDIAL,19.42415531,-99.13959159,19.4241-99.1395,1
CANTINA LA NO 20,19.42697139,-99.19575068,19.4269-99.1957,1
CANTINA LA NO 20 REFORMA,19.42606406,-99.16758595,19.4260-99.1675,1
CANTINA LA NO 20 SANTA FE,19.34590456,-99.18071498,19.3459-99.1807,1
CANTINA LA NO. 7,19.4305499,-99.14285751,19.4305-99.1428,1
CANTINA LA NUEVA FLOR AZTECA,19.45845183,-99.19160378,19.4584-99.1916,1
CANTINA LA NUEVA GUADALUPANA,19.48093043,-99.11840774,19.4809-99.1184,1
CANTINA LA NUEVA LUCHA,19.45331517,-99.12326162,19.4533-99.1232,1
CANTINA LA NUEVA REINA,19.42000048,-99.14648044,19.4200-99.1464,1
CANTINA LA PENINSULAR,19.43095371,-99.1272341,19.4309-99.1272,1
CANTINA LA PERLA,19.45315211,-99.16132038,19.4531-99.1613,1
CANTINA LA POTOSINA,19.43308348,-99.12792532,19.4330-99.1279,1
CANTINA LA PRINCIPAL,19.44722912,-99.13039746,19.4472-99.1303,1
CANTINA LA PRINCIPAL,19.44305062,-99.08371532,19.4430-99.0837,1
CANTINA LA REFORMA,19.45952246,-99.13199843,19.4595-99.1319,1
CANTINA LA TORMENTA,19.45040015,-99.14133473,19.4504-99.1413,1
CANTINA LA ULTRA MARINA,19.41332409,-99.16142366,19.4133-99.1614,1
CANTINA LA UNICA DE LA OBRERA,19.42371068,-99.13752387,19.4237-99.1375,1
CANTINA LA VALENCIANA,19.3967354,-99.14681463,19.3967-99.1468,1
CANTINA LA VICTORIA SPEZZIAL,19.41790513,-99.14477512,19.4179-99.1447,1
CANTINA LAS AMERICAS,19.43399056,-99.14915478,19.4339-99.1491,1
CANTINA LAS BARRICAS SA DE CV,19.4378975,-99.16495852,19.4378-99.1649,1
CANTINA LOS CHENCHOS,19.42385103,-99.13239993,19.4238-99.1323,1
CANTINA MAJESTIC,19.42780663,-99.14606867,19.4278-99.1460,1
CANTINA MEXICO,19.37250375,-99.17277541,19.3725-99.1727,1
CANTINA NEW YORK,19.44525799,-99.1435768,19.4452-99.1435,1
CANTINA NUEVO LEON,19.43029933,-99.13230659,19.4302-99.1323,1
CANTINA PAPAGAYO,19.44313797,-99.1578299,19.4431-99.1578,1
CANTINA PUERTA DEL SOL,19.4421154,-99.17224351,19.4421-99.1722,1
CANTINA RIO DE LA PLATA,19.43732645,-99.13771462,19.4373-99.1377,1
CANTINA RIVIERA DEL SUR,19.41191831,-99.16435645,19.4119-99.1643,1
CANTINA SALON CASINO,19.41791528,-99.14787559,19.4179-99.1478,1
CANTINA SALON ESPA—A,19.43652022,-99.1316826,19.4365-99.1316,1
CANTINA SAL”N PALACIO,19.43732971,-99.14944177,19.4373-99.1494,1
CANTINA SAL”N PARIS,19.44891783,-99.15785081,19.4489-99.1578,1
CANTINA SIN NOMBRE,19.42800364,-99.12334063,19.4280-99.1233,2
CANTINA TERRAZA MADERO,19.43389743,-99.13911935,19.4338-99.1391,2
CANTINA U DE G,19.45061401,-99.14634603,19.4506-99.1463,1
CAPITAN CITY,19.391524,-99.13210909,19.3915-99.1321,1
CASA 19  RESTAURANTE,19.43176846,-99.14017674,19.4317-99.1401,1
CASA DE MICHOACAN AC,19.43003327,-99.15643131,19.4300-99.1564,1
CASA FRANCA,19.41930005,-99.15754423,19.4193-99.1575,1
CASA INDIO,19.42553548,-99.15406643,19.4255-99.1540,1
CASSANAVA ROOTS,19.43065007,-99.19640695,19.4306-99.1964,1
CELESVIS,19.41335739,-99.1570713,19.4133-99.1570,1
CELTICS PUB,19.43487963,-99.145551,19.4348-99.1455,1
CELTIS PUB IRLANDES,19.41225114,-99.17304836,19.4122-99.1730,1
CENTRAL FONK,19.42647197,-99.13235925,19.4264-99.1323,1
CENTRO BOTANERO LAS MAMIS,19.27756194,-99.08184306,19.2775-99.0818,1
CENTRO BOTANERO RINCON DEL BRUJO,19.27756194,-99.08184306,19.2775-99.0818,2
CERVECENTRO ESTRELLA,19.44009613,-99.10733775,19.4400-99.1073,1
CERVECERIA,19.49860968,-99.16108542,19.4986-99.1610,1
CERVECERIA,19.33961765,-99.0402139,19.3396-99.0402,1
CERVECERIA BAR LA CUPULA,19.45367009,-99.0587761,19.4536-99.0587,1
CERVECERIA DEL BARRIO,19.40381638,-99.15306313,19.4038-99.1530,1
CERVECERIA EL BARON ROJO,19.37582726,-99.1976221,19.3758-99.1976,1
CERVECERIA EL GALLO,19.30222212,-99.24591548,19.3022-99.2459,1
CERVECERIA EL MAL PASO,19.43726063,-99.13773538,19.4372-99.1377,1
CERVECERIA EL POCASCHELAS,19.36075672,-99.03984007,19.3607-99.0398,1
CERVECERIA EL RENACIMIENTO,19.43972043,-99.1488673,19.4397-99.1488,1
CERVECERIA EL RINCON CERVECERO,19.35342595,-99.12836902,19.3534-99.1283,1
CERVECERIA GALLO NEGRO,19.43336249,-99.13937533,19.4333-99.1393,1
CERVECERIA JANET,19.4820305,-99.06633777,19.4820-99.0663,1
CERVECERIA LA CHELESTIAL,19.42543999,-99.16368092,19.4254-99.1636,1
CERVECERIA LA CUEVA DEL OSO,19.41641598,-99.07529248,19.4164-99.0752,1
CERVECERIA LA IGUANA,19.37228438,-99.21403296,19.3722-99.2140,1
CERVECERIA LA INDITA,19.4567983,-99.18908567,19.4567-99.1890,1
CERVECERIA LA PLAYA,19.40848697,-99.13741411,19.4084-99.1374,1
CERVECERIA LA SUPERIOR,19.44641464,-99.14734029,19.4464-99.1473,1
CERVECERIA LOS JARROS,19.24560591,-99.00344114,19.2456-99.0034,1
CERVECERIA LOS VAQUEROS,19.47669228,-99.15388454,19.4766-99.1538,1
CERVECERIA LUNA,19.32823907,-99.28449693,19.3282-99.2844,1
CERVECERIA MICHELANDIA,19.44684652,-99.12819424,19.4468-99.1281,1
CERVECERIA NIGHT AND BEER,19.46093192,-99.14039393,19.4609-99.1403,1
CERVECERIA PIERROT,19.35779225,-99.18953587,19.3577-99.1895,1
CERVECERIA SALON PORTALES,19.369554,-99.14368016,19.3695-99.1436,1
CERVECERIA SIN NOMBRE,19.49934757,-99.15853989,19.4993-99.1585,1
CERVECERIA SIN NOMBRE,19.3293508,-99.25215361,19.3293-99.2521,1
CERVECERIA TIO VENUS,19.43971779,-99.07900797,19.4397-99.0790,1
CERVECERIA TOLUCA,19.48125369,-99.18744049,19.4812-99.1874,1
CERVECERIA VILLA DESARRIA,19.4101703,-99.16217053,19.4101-99.1621,1
CERVECERÕA VISCAYA,19.42859713,-99.15247795,19.4285-99.1524,1
CERVECERIA Y CARNES AL CARBON,19.34892002,-99.0346278,19.3489-99.0346,1
CERVECERIA ZACATECAS,19.44971388,-99.16359595,19.4497-99.1635,1
