Punto,Lat,Lon,
ESCUELA PRIMARIA DE TIEMPO COMPLETO JUAN RUIZ DE ALARCON,19.4621781,-99.0883107,
ESCUELA PRIMARIA DEFENSOR DE ANAHUAC,19.4746424,-99.1426843,
ESCUELA PRIMARIA DEFENSORES DE LA REPUBLICA,19.4743801,-99.1427304,
ESCUELA PRIMARIA DEFENSORES DE VERACRUZ 1914,19.4324861,-99.1056347,
ESCUELA PRIMARIA DIEGO RIVERA,19.3415206,-99.1682854,
ESCUELA PRIMARIA DIEGO RIVERA CLAVE 24-1098-256-00-X-016,19.4542676,-99.0649522,
ESCUELA PRIMARIA DIF HORARIO ASISTENCIAL,19.3642990,-99.1590734,
ESCUELA PRIMARIA DINAMARCA,19.4899368,-99.0883948,
ESCUELA PRIMARIA DOCTOR ANGEL MARIA GARIBAY,19.3157875,-99.1688433,
ESCUELA PRIMARIA DOCTOR BELISARIO DOMINGUEZ,19.4390891,-99.1472092,
ESCUELA PRIMARIA DOCTOR CARLOS BAUER,19.4858564,-99.0983471,
ESCUELA PRIMARIA DOCTOR CAYETANO ANDRADE,19.4985157,-99.0930245,
ESCUELA PRIMARIA DOCTOR CONRADO MENDEZ MENA,19.3826887,-99.2552389,
ESCUELA PRIMARIA DOCTOR EDUARDO LICEAGA 32-3001-334-22-X-019,19.3030532,-99.2700608,
ESCUELA PRIMARIA DOCTOR JAIMES TORRES BODET,19.2959036,-99.0476609,
ESCUELA PRIMARIA DOCTOR JOSE MARIA LUIS MORA,19.5263713,-99.1387143,
ESCUELA PRIMARIA DOCTOR MIGUEL SILVA,19.4555310,-99.2067314,
ESCUELA PRIMARIA DOCTOR NABOR CARRILLO FLORES C.T.T. 09DPR2951Z,19.3162533,-99.2491291,
ESCUELA PRIMARIA DOCTOR OCTAVIO VEJAR,19.3906484,-99.0825802,
ESCUELA PRIMARIA DOCTOR PEDRO DE ALBA,19.3591401,-99.1045849,
ESCUELA PRIMARIA DOCTOR PORFIRIO PARRA,19.3449586,-99.1944954,
ESCUELA PRIMARIA DOCTOR SALVADOR ALLENDE.,19.5250009,-99.1486743,
ESCUELA PRIMARIA DOCTOR SAMUEL RAMOS,19.3745945,-99.1987024,
ESCUELA PRIMARIA DOCTORA MARGARITA CHORNE Y SALAZAR,19.4277104,-99.0952770,
ESCUELA PRIMARIA DOMINGO F. SARMIENTO,19.4223967,-99.1177808,
ESCUELA PRIMARIA DOMINGO MARTÍNEZ PARÉDES 09DPR4246I,19.2748425,-99.2223674,
ESCUELA PRIMARIA DR AGUSTÍN RIVERA,19.4271917,-99.1453153,
ESCUELA PRIMARIA DR ATL,19.4857486,-99.1451222,
ESCUELA PRIMARIA DR BELISARIO DOMINGUEZ,19.4391758,-99.1471894,
ESCUELA PRIMÁRIA DR FRANCISCO VÁZQUEZ GOMEZ CLAVE 52207850932X014,19.3398343,-99.1175189,
ESCUELA PRIMARIA DR HECTOR PEREZ MTZ,19.4593085,-99.1516189,
ESCUELA PRIMARIA DR MANUEL GAMIO,19.3616833,-99.0116175,
ESCUELA PRIMARIA DR. JESÚS DÍAZ DE LEÓN,19.3810103,-99.1903678,
ESCUELA PRIMARIA DR. MIGUEL SILVA,19.4491559,-99.1102448,
ESCUELA PRIMARIA DRA MARIA DEL CARMEN MILLAN,19.2979042,-99.1164503,
ESCUELA PRIMARIA EFRAIN HUERTA,19.3250532,-99.2591313,
ESCUELA PRIMARIA EFRAIN HUERTA CCT 09DPR0102L,19.2962937,-99.0711099,
ESCUELA PRIMARIA EFREN VALENZUELA 09DPR1490,19.4542982,-99.0912991,
ESCUELA PRIMARIA EJERCITO CONSTITUCIONALISTA TIEMPO COMPLETO,19.3825382,-99.0524757,
ESCUELA PRIMARIA EJIDO DE ZACATENCO,19.5026691,-99.1215023,
ESCUELA PRIMARIA EL AMO TORRES 09DPR1321E,19.3420884,-99.0414096,
ESCUELA PRIMARIA EL CHAMIZAL,19.4330660,-99.2167946,
ESCUELA PRIMARIA EL MAESTRO MEXICANO,19.4733537,-99.1980483,
ESCUELA PRIMARIA EL PIPILA,19.4121339,-99.1927010,
ESCUELA PRIMARIA EL PIPILA AZUL,19.4120002,-99.1923723,
ESCUELA PRIMARIA EL SEGURO DEL MAESTRO,19.3655097,-99.2359714,
ESCUELA PRIMARIA EL SEGURO DEL MAESTRO MAT CLAVE CCT09DPR3126P,19.3620055,-98.9962710,
ESCUELA PRIMARIA ELISA ACUÑA Y ROSSETTI 09DPR3235W,19.3511571,-99.0041895,
ESCUELA PRIMARIA EMILIANO ZAPATA,19.4758217,-99.1280052,
ESCUELA PRIMARIA EMILIANO ZAPATA 09DPR1320F TIEMPO COMPLETO,19.3251914,-99.1016565,
ESCUELA PRIMARIA EMILIANO ZAPATA C.C.T. 09DPR2140B,19.4680229,-99.1567781,
ESCUELA PRIMARIA EMILIO BRAVO,19.5408487,-99.1411398,
ESCUELA PRIMARIA EMILIO PORTES GIL CCT 09DPR28091,19.3352988,-99.1711908,
ESCUELA PRIMARIA EMPERADOR CUAHUTEMOC T.M.,19.4474958,-99.0579375,
ESCUELA PRIMARIA EMPERADOR ITZCOATL,19.3777691,-99.0358855,
ESCUELA PRIMARIA EMPERADOR IZCOATL,19.3778478,-99.0359327,
ESCUELA PRIMARIA ENRIQUE AGUILAR,19.3050737,-99.1683089,
ESCUELA PRIMARIA ENRIQUE C. REBSAMEN,19.2546118,-99.0116945,
ESCUELA PRIMARIA ENRIQUE CORONA MORFIN,19.4934783,-99.2001707,
ESCUELA PRIMARIA ENRIQUE GARCIA GALLEGOS,19.3739085,-99.1016293,
ESCUELA PRIMARIA ENRIQUE GONZALEZ APARICIO,19.3475904,-98.9950027,
ESCUELA PRIMARIA ENRIQUE RODRIGUEZ CANO,19.2973787,-99.2450360,
ESCUELA PRIMARIA ENRRIQUE GONZALEZ MARTINEZ,19.4717876,-99.0975786,
ESCUELA PRIMARIA ERASMO CASTELLANOS QUINTO JORNADA AMPLIADA,19.4082083,-99.1198349,
ESCUELA PRIMARIA ERMILO ABREU GOMEZ,19.4524031,-99.0564131,
ESCUELA PRIMARIA ERMILO ABREU GOMEZ 09DPR1787J,19.3680479,-99.1287744,
ESCUELA PRIMARIA ERNESTO ALCONEDO 25-1083-255-00-X-016,19.4558313,-99.0824322,
ESCUELA PRIMARIA ERNESTO GARCIA CABRAL,19.3326802,-99.0953380,
ESCUELA PRIMARIA ESCUELA DE PARTICIPACION SOCIAL NO 4,19.4567648,-99.1226525,
ESCUELA PRIMARIA ESCUELA ESTADOS UNIDOS MEXICANOS 441239,19.4174118,-99.1086797,
ESCUELA PRIMARIA ESPAÑA,19.4264145,-99.1318991,
ESCUELA PRIMARIA ESPARTACO,19.3177477,-99.1350927,
ESCUELA PRIMARIA ESPERANZA LOPEZ MATEOS,19.3121903,-99.1485877,
ESCUELA PRIMÁRIA ESPERANZA VELASCO ZULETA,19.5074977,-99.1937832,
ESCUELA PRIMARIA ESPERANZA VILLASANA HEREDIA,19.3912740,-99.2014881,
ESCUELA PRIMARIA ESTADO DE AGUASCALIENTES,19.3844487,-99.2294112,
ESCUELA PRIMARIA ESTADO DE COAHUILA,19.4180009,-99.1565655,
ESCUELA PRIMARIA ESTADO DE GUANAJUATO,19.4929516,-99.1855260,
ESCUELA PRIMARIA ESTADO DE HIDALGO,19.4434684,-99.1781708,
ESCUELA PRIMARIA ESTADO DE ISRAEL,19.4197449,-99.1010085,
ESCUELA PRIMARIA ESTADO DE JALISCO,19.4753957,-99.1505360,
ESCUELA PRIMARIA ESTADO DE MEXICO,19.4440853,-99.1010700,
ESCUELA PRIMARIA ESTADO DE MORELOS,19.3604135,-99.0273117,
ESCUELA PRIMARIA ESTADO DE NAYARIT,19.1350005,-99.1718293,
ESCUELA PRIMARIA ESTADO DE NUEVO LEON,19.4669971,-99.1800313,
ESCUELA PRIMARIA ESTADO DE OAXACA C.C.T. 09DPR2753Z,19.4124692,-99.0687921,
ESCUELA PRIMARIA ESTADO DE PUEBLA,19.4290756,-99.1055771,
ESCUELA PRIMARIA ESTADO DE QUERÉTARO,19.2806517,-99.1783562,
ESCUELA PRIMARIA ESTADO DE SAN LUIS POTOSI,19.2980912,-99.1501485,
ESCUELA PRIMARIA ESTADO DE SINALOA,19.4028770,-99.1183597,
ESCUELA PRIMARIA ESTADO DE TAMAULIPAS CCT09DPR2428D JORNADA AMPLIADA,19.4139985,-99.1181318,
ESCUELA PRIMARIA ESTADO DE TLAXCALA,19.4086756,-99.1275562,
ESCUELA PRIMARIA ESTADO DE ZACATECAS,19.4483627,-99.1311797,
ESCUELA PRIMARIA ESTADOS UNIDOS DE AMERICA,19.4169768,-99.1118348,
ESCUELA PRIMARIA ESTANISLAO RAMIREZ RUIZ,19.2784489,-99.0089289,
ESCUELA PRIMARIA ESTEBAN GARCIA ALBA SOLO,19.3597620,-99.1210032,
ESCUELA PRIMARIA ESTEFANIA CASTANEDA,19.3252597,-99.1137462,
ESCUELA PRIMARIA ETIOPIA 09DPR1769V,19.3921716,-99.1955154,
ESCUELA PRIMARIA EULALIA GUZMAN BARRON,19.3573289,-99.2323072,
ESCUELA PRIMARIA EZEQUIEL A. CHAVEZ,19.4484966,-99.1617645,
ESCUELA PRIMARIA FABIAN GARCIA RAMIREZ,19.3404131,-98.9870103,
ESCUELA PRIMARIA FEDERICO BARRUETO RAMON,19.3759371,-99.1042188,
ESCUELA PRIMARIA FELIPE ANGELES RAMIREZ CLAVE 14-0121-104-00-X-013,19.4770307,-99.1596884,
ESCUELA PRIMARIA FELIPE CARRILLO PUERTO,19.4602986,-99.1266103,
ESCUELA PRIMARIA FERNANDO BRAM ROJAS,19.3170883,-99.1237724,
ESCUELA PRIMARIA FERNANDO CASAS ALEMAN 09DPR0964Q,19.4478464,-99.0918911,
ESCUELA PRIMARIA FERNANDO MONTES DE OCA,19.4975740,-99.2031827,
ESCUELA PRIMARIA FILOMENO MATA,19.5056471,-99.1221314,
ESCUELA PRIMARIA FLAVIO GUTIERREZ ZACARIAS,19.3831447,-99.2250416,
ESCUELA PRIMARIA FORD 20,19.3468850,-99.2328319,
ESCUELA PRIMARIA FORJADORES DE LA CULTURA CLAVE 09DPR219SE,19.4576151,-99.0872681,
ESCUELA PRIMARIA FRACISCO CESAR MORALES,19.3395771,-99.1395169,
ESCUELA PRIMARIA FRANCISCO DE P. MIRANDA,19.4163807,-99.0931382,
ESCUELA PRIMARIA FRANCISCO DE PAULA HERRASTI,19.4707474,-99.1494560,
ESCUELA PRIMARIA FRANCISCO DEL OLMO,19.1755673,-98.9972711,
ESCUELA PRIMARIA FRANCISCO DEL PASO Y TRONCOSO 00DPR2764F,19.3028187,-99.0728820,
ESCUELA PRIMARIA FRANCISCO EDUARDO TRES GUERRAS,19.4573675,-99.1845392,
ESCUELA PRIMARIA FRANCISCO FIGUEROA,19.4585320,-99.1933843,
ESCUELA PRIMARIA FRANCISCO GAVILONDO SOLER,19.3588943,-99.2103290,
ESCUELA PRIMARIA FRANCISCO GINER DE LOS RIOS,19.4119621,-99.1389464,
ESCUELA PRIMARIA FRANCISCO GOITIA,19.4311151,-99.2204082,
ESCUELA PRIMARIA FRANCISCO GONZALEZ BOCANEGRA,19.4392312,-99.1402335,
ESCUELA PRIMARIA FRANCISCO HERNANDEZ MERCADO,19.5429494,-99.1316138,
ESCUELA PRIMARÍA FRANCISCO I MADERO,19.2183748,-99.2056364,
ESCUELA PRIMARIA FRANCISCO J. MUJICA,19.4975053,-99.2041204,
ESCUELA PRIMARIA FRANCISCO JAVIER LILLY HUERTA,19.3174323,-99.1056366,
ESCUELA PRIMARIA FRANCISCO JAVIER MINA,19.4750739,-99.2053472,
ESCUELA PRIMARIA FRANCISCO MEDINA ASCENCIO,19.4539159,-99.1366713,
ESCUELA PRIMARIA FRANCISCO SANTOYO MALDONADO,19.4522521,-99.1817686,
ESCUELA PRIMARIA FRANCISCO SARABIA,19.4572109,-99.1759775,
ESCUELA PRIMARIA FRANCISCO SARABIA Y TINOCO,19.4302933,-99.0910284,
ESCUELA PRIMARIA FRANCISCO SOSA,19.3164989,-99.0721661,
ESCUELA PRIMARIA FRANCISCO VILLA,19.3396495,-99.0610248,
ESCUELA PRIMARIA FRAY ANTONIO MARGIL DE JESUS,19.3408369,-99.1639539,
ESCUELA PRIMARIA FRAY BARTOLOME DE LAS CASAS,19.3769868,-99.1103983,
ESCUELA PRIMARIA FRAY BARTOLOMÉ DE LAS CASAS,19.4414663,-99.1498713,
ESCUELA PRIMARIA FRAY EUSEBIO KINO,19.3366043,-99.1396941,
ESCUELA PRIMARIA FRAY FRANCISCO APARICIO,19.4474659,-99.1758348,
ESCUELA PRIMARIA FRAY LUIS DE LEON,19.4422628,-99.1464875,
ESCUELA PRIMARIA FRAY MELCHO DE TALAMANTES,19.4374390,-99.1213003,
ESCUELA PRIMARIA FUERZAS ARMADAS DE MEXICO,19.2780318,-99.1623821,
ESCUELA PRIMARIA GABRIEL LEYVA LOZANO,19.4565488,-99.1329236,
ESCUELA PRIMARIA GAMBIA CT 09-DPR2-2-25I  35-1405-343-0-0-X-019 TC,19.3157932,-99.2496588,
ESCUELA PRIMARIA GAUDENCIO PERAZA,19.3489507,-98.9895362,
ESCUELA PRIMARIA GENARO GARCIA CCT 09DPR4155R.,19.3111327,-99.0736262,
ESCUELA PRIMARIA GENERACION 21 22,19.4746760,-99.1350683,
ESCUELA PRIMARIA GENERAL ANAYA,19.3725472,-99.1405273,
ESCUELA PRIMARIA GENERAL CÉSAR LÓPEZ DE LARA,19.4800042,-99.2117611,
ESCUELA PRIMARIA GENERAL DONATO GUERRA 09DPR5017W  DIRECTOR GAUDENCIO GUERRERO JAIMES,19.2836196,-99.1854402,
ESCUELA PRIMARIA GENERAL FRANCISCO MENENDEZ,19.3923340,-99.1842028,
ESCUELA PRIMARIA GENERAL IGNACIO ZARAGOA,19.4498817,-99.1860378,
ESCUELA PRIMARIA GENERAL JUAN N ALVAREZ,19.3341342,-99.2012117,
ESCUELA PRIMARIA GENERAL LAZARO CARDENAS,19.4949164,-99.1479705,
ESCUELA PRIMARIA GENERAL LAZARO CARDENAS DEL RIO,19.2975068,-99.1401938,
ESCUELA PRIMARIA GENERAL LUCIO BLANCO,19.3634452,-99.0185018,
ESCUELA PRIMARIA GENERAL MIGUEL ALEMAN,19.4426194,-99.1225760,
ESCUELA PRIMARIA GENERAL PEDRO A OGAZON,19.4562406,-99.1963394,
ESCUELA PRIMARIA GENERAL PEDRO OGAZON 211050-252-00-X-016,19.4670406,-99.0692227,
ESCUELA PRIMARIA GENERAL PLUTARCO ELIAS CALLES,19.4450655,-99.2183164,
ESCUELA PRIMARIA GENERAL SANTOS DE GOLLADO,19.3308869,-99.3262244,
ESCUELA PRIMARIA GENERAL VICENTE GUERRERO,19.4905262,-99.1047859,
ESCUELA PRIMARIA GENOVEVA CORTEZ,19.3348183,-99.0421473,
ESCUELA PRIMARIA GENOVEVA CORTEZ VALLADARES,19.4469563,-99.1701124,
ESCUELA PRIMARIA GEORGES CUISENAIRE,19.4974325,-99.1826452,
ESCUELA PRIMARIA GERTRUDIS ARMENDARIS DE HIDALGO,19.5410135,-99.1416144,
ESCUELA PRIMARIA GRAL FELIPE ANGELES,19.4467570,-99.1117532,
ESCUELA PRIMARIA GRAL FRANCISCO J MUJICA,19.4215789,-99.0717424,
ESCUELA PRIMARIA GRAL HERIBERTO JARA,19.5642936,-99.1386169,
ESCUELA PRIMARIA GRAL J FERNANDO RAMIREZ,19.4531674,-99.2114208,
ESCUELA PRIMARIA GRAL JOSE MARIANO MONTERDE,19.2655754,-99.1451038,
ESCUELA PRIMARIA GRAL JUAN ALVAREZ 09DPR1932F,19.3334074,-99.2013735,
ESCUELA PRIMARIA GRAL LAZARO CARDENAS DEL RIO,19.2974707,-99.1400983,
ESCUELA PRIMARIA GRAL MIGUEL NEGRETE,19.4993699,-99.0864374,
ESCUELA PRIMARIA GRECIA,19.2729262,-99.1400120,
ESCUELA PRIMARIA GREGORIO TORRES QUINTERO,19.5532944,-99.1405135,
ESCUELA PRIMARIA GUADALUPE FLORES ALONSO,19.3172982,-99.2396344,
ESCUELA PRIMARIA GUILLEN DE LAMPART,19.3102100,-99.1703300,
ESCUELA PRIMARIA GUILLERMO BONILLA SEGURA,19.3845749,-99.0644532,
ESCUELA PRIMARIA GUILLERMO SHERWELL,19.3137475,-99.1154341,
ESCUELA PRIMARIA GUSTAVO A MADERO,19.3380110,-99.1086856,
ESCUELA PRIMARIA GUZTAVO A MADERO,19.3377326,-99.1081205,
ESCUELA PRIMARIA HERMANOS FLORES MAGON,19.3427350,-98.9992750,
ESCUELA PRIMARIA HERMANOS GALEANA,19.3588796,-99.2531453,
ESCUELA PRIMARIA HERMANOS SERDAN,19.3448597,-99.0127640,
ESCUELA PRIMARIA HEROE ANTONIO REYESJORNADA AMPLIADA,19.4777446,-99.0807356,
ESCUELA PRIMARIA HEROES DE 1914,19.4250910,-99.0961302,
ESCUELA PRIMARIA HEROES DE CERRO PRIETO E09DPR1092B,19.4544542,-99.0969354,
ESCUELA PRIMARIA HEROES DE CHAPULTEPEC,19.2751531,-99.1715266,
ESCUELA PRIMARIA HEROES DE CHURUBUSCO,19.3494024,-99.1561074,
ESCUELA PRIMARIA HEROES DE LA INDEPENDENCIA,19.2757011,-99.1381086,
ESCUELA PRIMARIA HEROES DEL MOLINO CCT09DPR1086R,19.3991771,-99.0567107,
ESCUELA PRIMARIA HEROICA VERACRUZ JORNADA AMPLIADA,19.4875421,-99.0892902,
ESCUELA PRIMARIA HEROICOS CADETES,19.3817161,-99.1255059,
ESCUELA PRIMARIA HIDROELECTRICA DE CUPATITZIO JORNADA AMPLIADA,19.4878488,-99.0858865,
ESCUELA PRIMARIA HIMNO NACIONAL MEXICANO SEP,19.3705917,-99.1136903,
ESCUELA PRIMARIA HOLANDA,19.3534855,-99.1116509,
ESCUELA PRIMARIA HOLANDA. CLAVE DE CENTRO DE TRABAJO 09DPR1286P,19.3533510,-99.1116640,
ESCUELA PRIMARIA HORACIO MANN,19.4256051,-99.1554306,
ESCUELA PRIMARIA HUMBERTO ESPARZA VILLAREAL,19.2638918,-99.1193981,
ESCUELA PRIMARIA IDEARIO DE JUAREZ,19.3178764,-99.1570266,
ESCUELA PRIMARIA IGNACIO ALLENDE,19.4564699,-99.1218154,
ESCUELA PRIMARIA IGNACIO GONZALEZ GUZMAN 09DPR2606Q,19.3538601,-99.0516923,
ESCUELA PRIMARIA IGNACIO LOPEZ RAYON,19.3976551,-99.1940292,
ESCUELA PRIMARIA IGNACIO MANUEL ALTAMIRANO 09DPR5103S,19.3421273,-99.0280287,
ESCUELA PRIMARIA IGNACIO MARISCAL,19.4564640,-99.0549530,
ESCUELA PRIMARIA IGNACIO RAMIREZ,19.2563045,-99.1071409,
ESCUELA PRIMARIA IGNACIO RODRIGUEZ GALVAN,19.2874451,-99.1651806,
ESCUELA PRIMARIA IGNACIO ZARAGOZA,19.3920914,-99.0895680,
ESCUELA PRIMARIA INDEPENDENCIA ECONÓMICA DE MEXICO,19.2562849,-99.0648136,
ESCUELA PRIMARIA INDIRA GANDHI CCT 09DPR4006J,19.2904044,-99.2216715,
ESCUELA PRIMARIA ING JUAN DE DIOS BATIZ T V,19.5248988,-99.1456895,
ESCUELA PRIMARIA ING ROBERTO GAYOL CCT 09DPR1216U,19.3107092,-99.0712005,
ESCUELA PRIMARIA ING. GONZALEZ CAMARENA,19.4852505,-99.1805171,
ESCUELA PRIMARIA ING. MIGUEL BERNARD,19.2524973,-99.0568412,
ESCUELA PRIMARIA INGENIERO JAVIER BARROS SIERRA,19.3368916,-99.2381362,
ESCUELA PRIMARIA INSURGENTE MORELOS JORNADA AMPLIADA,19.4860278,-99.1141941,
ESCUELA PRIMARIA INSURGENTE PEDRO MORENO,19.3900232,-99.0511633,
ESCUELA PRIMARIA INTERNADO NO 28 GENERAL LAZARO CARDENAS,19.3666668,-99.0940829,
ESCUELA PRIMARIA INVESTIGACION EDUCATIVA,19.3705430,-99.2803862,
ESCUELA PRIMARIA ISAC NEWTON,19.3745597,-99.0365836,
ESCUELA PRIMARIA ITALIA,19.4486335,-99.1422784,
ESCUELA PRIMARIA J. CONCEPCION RIVERA CCT09DPR0113R,19.3564526,-99.0311907,
ESCUELA PRIMARIA JACINTO CANEK CCT 09DPR1863Z,19.2885613,-99.2189914,
ESCUELA PRIMARIA JAIME SABINES,19.3042554,-99.0397252,
ESCUELA PRIMARIA JAIME TORRES BODET,19.4582120,-99.1086395,
ESCUELA PRIMARIA JAPON,19.3661892,-99.1185123,
ESCUELA PRIMARIA JERONIMO FIGUEROA,19.5211330,-99.1532091,
ESCUELA PRIMARIA JESUS CARLOS ROMERO VILLA,19.5088554,-99.1247557,
ESCUELA PRIMARIA JESUS MASTACHE ROMAN,19.3829900,-99.1139016,
ESCUELA PRIMARIA JESUS NARVAEZ GALDEANO 09DPR4509B,19.3297872,-99.0584466,
ESCUELA PRIMARIA JESUS ROMERO FLORES,19.4752642,-99.1285338,
ESCUELA PRIMARIA JESUS SOTELO INCLAN,19.5066953,-99.1899262,
ESCUELA PRIMARIA JESUS T ACEVEDO,19.3877952,-99.0602198,
ESCUELA PRIMARIA JOAQUIN BARANDAS,19.4582553,-99.1887761,
ESCUELA PRIMARIA JONAS EDWARD SALK,19.3845755,-99.1413369,
ESCUELA PRIMARIA JORGE ALACIO PEREZ,19.3715797,-99.1329447,
ESCUELA PRIMARIA JORGE CASAHONDA CASTILLO,19.5498972,-99.1419048,
ESCUELA PRIMARIA JORNADA AMPLIADA PROFESOR ANTONIO BARBOSA HELDT 09DPRI208L,19.3693502,-99.1299835,
ESCUELA PRIMARIA JOSE ARTURO PICHARDO,19.4677850,-99.1885514,
ESCUELA PRIMARIA JOSE AZUETA,19.2888240,-99.1761651,
ESCUELA PRIMARIA JOSE DE JESUS IBARRA Y ROBLES,19.3919637,-99.2126490,
ESCUELA PRIMARIA JOSE DOLORES MEDINA DELGADO,19.3865256,-99.0493041,
ESCUELA PRIMARIA JOSE INES NOVELO,19.3682279,-99.2324297,
ESCUELA PRIMARIA JOSÉ JESÚS AGUILERA PALOMINO 09DPR4184M JORNADA AMPLIADA,19.3310334,-99.1721908,
ESCUELA PRIMARIA JOSE LOPEZ ALAVEZ,19.5094471,-99.0979763,
ESCUELA PRIMARIA JOSE LOPEZ PORTILLO Y ROJAS,19.4141490,-99.0605705,
ESCUELA PRIMARIA JOSE LUIS VIEYRA GONZALEZ,19.3532711,-99.2959416,
ESCUELA PRIMARIA JOSÉ MA RODRÍGUEZ COS,19.3282485,-99.0442620,
ESCUELA PRIMARIA JOSE MARIA CHAVEZ ANDRADE CCT. 09DPR5100V,19.2684873,-99.2120379,
ESCUELA PRIMARIA JOSE MARIA IGLESIAS,19.4176384,-99.1700182,
ESCUELA PRIMARIA JOSE MARIA MATA,19.3998637,-99.1623651,
ESCUELA PRIMARIA JOSE MARIA MORELOS,19.1952037,-99.0267577,
ESCUELA PRIMARIA JOSE MARIA MORELOSTURNO,19.1951985,-99.0267583,
ESCUELA PRIMARIA JOSE MARIA TAPIA FREYDING,19.3571422,-99.2545264,
ESCUELA PRIMARIA JOSE MARIANO PONTON,19.4159471,-99.0860255,
ESCUELA PRIMARIA JOSE MARTI,19.3994519,-99.1640377,
ESCUELA PRIMARIA JOSE REVUELTAS,19.5208613,-99.1315314,
ESCUELA PRIMARIA JOSE RUBEN ROMERO,19.4153084,-99.0584942,
ESCUELA PRIMARIA JOSE VASCONCELOS TIEMPO COMPLETO,19.3422285,-99.0592870,
ESCUELA PRIMARIA JOSE VICENTE VILLADA CCT09DPR1431K,19.4529643,-99.0695856,
ESCUELA PRIMARIA JOSEFA ORTIZ DE DOMINGUEZ,19.3294514,-99.2125754,
ESCUELA PRIMARIA JOSEFINA RODRIGUEZ SOLIS,19.3807337,-99.2033304,
ESCUELA PRIMARIA JOSEFINA TOLSA MARAÑON,19.5523871,-99.1348076,
ESCUELA PRIMARIA JUAN AMOS COMENIO,19.4460358,-99.2043148,
ESCUELA PRIMARIA JUAN B TIJERINA,19.3664407,-99.0245976,
ESCUELA PRIMARIA JUAN B ZALAZAR,19.5181979,-99.1541895,
ESCUELA PRIMARIA JUAN BADIANO,19.2612612,-99.1302518,
ESCUELA PRIMARIA JUAN CRISOSTOMO BONILLA,19.4092778,-99.0841297,
ESCUELA PRIMARIA JUAN DE MATA RIVERA.,19.3068750,-99.0671835,
ESCUELA PRIMARIA JUAN ESCUTIA,19.3155108,-99.0794255,
